Email,Score
Email 1,0.000419
Email 2,0.001013
Email 3,0.001139
Email 4,0.000190
Email 5,0.000078
Email 6,0.000976
Email 7,0.000563
Email 8,0.001066
Email 9,0.000777
Email 10,0.000254
Email 11,0.001174
Email 12,0.000904
Email 13,0.001141
Email 14,0.000612
Email 15,0.000993
Email 16,0.000835
Email 17,0.002518
Email 18,0.001095
Email 19,0.002057
Email 20,0.000648
Email 21,0.001449
Email 22,0.001746
Email 23,0.000940
Email 24,0.001284
Email 25,0.000203
Email 26,0.000275
Email 27,0.000558
Email 28,0.001158
Email 29,0.001817
Email 30,0.000203
Email 31,0.000772
Email 32,0.001857
Email 33,0.000469
Email 34,0.000287
Email 35,0.001553
Email 36,0.001277
Email 37,0.000229
Email 38,0.001379
Email 39,0.000500
Email 40,0.000330
Email 41,0.001187
Email 42,0.000330
Email 43,0.000593
Email 44,0.000064
Email 45,0.000788
Email 46,0.000000
Email 47,0.001030
Email 48,0.000524
Email 49,0.000120
Email 50,0.000265
Email 51,0.001630
Email 52,0.001347
Email 53,0.000862
Email 54,0.000424
Email 55,0.001197
Email 56,0.000000
Email 57,0.001427
Email 58,0.000824
Email 59,0.000352
Email 60,0.001730
Email 61,0.000359
Email 62,0.000606
Email 63,0.000477
Email 64,0.000773
Email 65,0.000767
Email 66,0.000321
Email 67,0.001026
Email 68,0.000697
Email 69,0.002183
Email 70,0.000604
Email 71,0.000973
Email 72,0.000934
Email 73,0.000650
Email 74,0.001827
Email 75,0.000228
Email 76,0.000856
Email 77,0.001096
Email 78,0.000658
Email 79,0.000992
Email 80,0.000095
Email 81,0.000409
Email 82,0.000360
Email 83,0.000595
Email 84,0.000652
Email 85,0.000634
Email 86,0.000500
Email 87,0.000305
Email 88,0.002012
Email 89,0.000608
Email 90,0.000926
Email 91,0.001855
Email 92,0.001093
Email 93,0.000490
Email 94,0.000000
Email 95,0.000717
Email 96,0.000974
Email 97,0.001554
Email 98,0.001369
Email 99,0.000772
Email 100,0.001064
Email 101,0.000059
Email 102,0.000665
Email 103,0.000420
Email 104,0.001076
Email 105,0.000126
Email 106,0.000118
Email 107,0.001274
Email 108,0.000739
Email 109,0.000769
Email 110,0.000847
Email 111,0.001218
Email 112,0.000888
Email 113,0.000783
Email 114,0.000926
Email 115,0.000000
Email 116,0.000098
Email 117,0.000966
Email 118,0.001377
Email 119,0.001646
Email 120,0.000590
Email 121,0.001926
Email 122,0.000235
Email 123,0.001154
Email 124,0.001317
Email 125,0.000505
Email 126,0.000378
Email 127,0.001930
Email 128,0.000724
Email 129,0.000677
Email 130,0.001065
Email 131,0.001182
Email 132,0.000523
Email 133,0.001231
Email 134,0.000963
Email 135,0.000997
Email 136,0.000817
Email 137,0.000827
Email 138,0.001116
Email 139,0.000136
Email 140,0.001673
Email 141,0.001045
Email 142,0.000409
Email 143,0.000234
Email 144,0.000576
Email 145,0.000851
Email 146,0.000732
Email 147,0.000759
Email 148,0.001535
Email 149,0.000129
Email 150,0.000009
Email 151,0.000615
Email 152,0.001322
Email 153,0.000276
Email 154,0.001720
Email 155,0.000570
Email 156,0.000700
Email 157,0.000142
Email 158,0.002713
Email 159,0.000502
Email 160,0.000355
Email 161,0.001338
Email 162,0.000453
Email 163,0.002682
Email 164,0.000755
Email 165,0.002138
Email 166,0.000956
Email 167,0.000190
Email 168,0.000275
Email 169,0.001022
Email 170,0.001227
Email 171,0.000839
Email 172,0.001321
Email 173,0.000759
Email 174,0.000890
Email 175,0.000043
Email 176,0.001489
Email 177,0.000205
Email 178,0.000858
Email 179,0.001563
Email 180,0.000199
Email 181,0.000440
Email 182,0.000101
Email 183,0.001090
Email 184,0.000796
Email 185,0.000764
Email 186,0.000489
Email 187,0.000563
Email 188,0.000595
Email 189,0.000542
Email 190,0.001192
Email 191,0.001731
Email 192,0.000413
Email 193,0.000142
Email 194,0.000639
Email 195,0.000889
Email 196,0.000705
Email 197,0.000746
Email 198,0.001050
Email 199,0.000260
Email 200,0.000223
Email 201,0.000573
Email 202,0.000742
Email 203,0.000763
Email 204,0.000933
Email 205,0.000201
Email 206,0.001036
Email 207,0.000301
Email 208,0.000325
Email 209,0.000955
Email 210,0.001645
Email 211,0.000959
Email 212,0.000846
Email 213,0.000422
Email 214,0.000099
Email 215,0.000930
Email 216,0.001431
